name,url,idioma,estilo,channel_id
JoseLuisCava,https://www.youtube.com/@JoseLuisCavatv/videos,es,macro+tecnico+geopolitica,UCvCCLJkQpRg0NdT3zNcI08A
LaPizarraDeAndres,https://www.youtube.com/@lapizarradeandres/videos,es,macro+tecnico,UCEXbEm8RUvRkKUEo2RjKd9w
PeterSchiff,https://www.youtube.com/c/peterschiff/videos,en,macro+oro+austriaco,UCIjuLiLHdFxYtFmWlbTGQRQ
RaoulPal,https://www.youtube.com/@RaoulPalTJM/videos,en,macro+cripto+tecnologia,UCVFSzL3VuZKP3cN9IXdLOtw
GeorgeGammon,https://www.youtube.com/@RebelCapitalistChannel/videos,en,macro+inmuebles+libertad,UCNjyEXSvYUUCzagFAKmaJ1Q
LynAlden,https://www.youtube.com/@LynAldenMedia/videos,en,macro+valor+bitcoin,UC26OTzxt9ixdrr3qdUJrYBQ
MarkMoss,https://www.youtube.com/channel/UC9ZM3N0ybRtp44-WLqsW3iQ/videos,en,macro+cripto+inmuebles,UC9ZM3N0ybRtp44-WLqsW3iQ
GregHernandez,https://www.youtube.com/channel/UCmguA6bCoYoIvRzr1gp1WpA/videos,es,value+dividendos+largoplazo,UCmguA6bCoYoIvRzr1gp1WpA
TradingLatino,https://www.youtube.com/channel/UCLjSq1FapG5OgvHsDKinHdA/videos,es,tecnico+cripto,UCLjSq1FapG5OgvHsDKinHdA
CarlosGalan,https://www.youtube.com/channel/UCG4D6945yt3P4B_9Z3cwkmw/videos,es,inmuebles+indexados,UCG4D6945yt3P4B_9Z3cwkmw
PabloGilTrader,https://www.youtube.com/@PabloGilTrader/videos,es,macro+tecnico+trading,UCPQ2dheMajZPnIleYZHzblg
